서비스명,지원내용,신청기한,문의처,신청방법,접수기관명,지원유형,지원대상,선정기준,URL,구비서류,tags
창업어가멘토링지원,"○ 후견인이 창업어가에게 기술, 경영 측면 등에 대한 교육 지도 등 제공(창업어가 1인당 월 60만원 한도 지원)",매년 초 지자체별 모집공고,지자체 수산기술보급기관/044-200-5464,지자체 수산기술보급기관으로 방문 또는 전화 접수,시·군·구청,기타(교육),"○ 어업인 후계자로 선정된 지 5년 이내인자 또는 귀어 후 5개년 이내인 자
○ 당년(이월사업 포함) 귀어 창업자금 지원(예정) 자","○ 가장 최근에 창업한 자
○ 어업인후계자 육성자금 지원규모가 큰 자
○ 창업어가의 업종 등을 고려하여 지원이 시급하다고 판단되는 자
○ 연령이 낮은 지원자",,창업어가후견인제 지원대상 신청서,"['창업지원', '어업인 후계자', '귀어 후', '창업자금 지원', '후견인', '교육 지도', '60만원 한도']"
어업인및어업인후계자교육지원(수산업경영인교육),"○ 교육비 : 무상교육
○ 교육내용 및 방법
- 교육일수/방법 : 1회 2일간(14시간)/소집, 집체교육
- 교수요목 : 수산시책, 양식, 어선어업 주요기술, 인터넷교육 등
- 교과운영 : 지역 사무소별 세부교과편성(강의, 실습, 토론, 견학 등) 집행
○ 교육제공 방법 : 관할 시도 수산사무소의 교육계획 공고 등에 따라 사전에 교육 참여 신청(유선 또는 방문)",매년 초 지자체별 모집공고,지자체 수산기술보급기관/044-200-5464,지자체 수산기술보급기관으로 방문 또는 전화 접수,지방자치단체별 수산기술 보급기관(수산사무소),기타(교육),"○ 어업인 및 어업에 종사하고자 하는 자, 수산업경영인(어업인 후계자) 등",○ 해당 광역 시도 수산사무소의 교육계획에 따라 선정 및 이수 가능,,지자체별 지정 서식에 따름,"['어업인', '어업인후계자', '교육지원', '무상교육', '수산업경영인', '수산시책', '인터넷교육']"
천일염 장기저장시설 설치지원,"○ 천일염장기저장시설 지원(지원조건 : 국비 30%, 지방비 30%, 자담 40%)",지자체 사업 공고시,해당지역 시군구청/관할 지자체,○ 해당 지자체에 우편 또는 방문 신청,시·군·구청,현금,"○ (지원대상)개인 및 법인(천일염 생산자), 공기업, 천일염 영농(어)조합법인, 농(어)업회사법인, 농업협동조합, 수산업협동조합, 천일염관련 협동조합, 대한염업조합, 지방자치단체
○ (제외대상)영농(어)조합법인과 농(어)업회사법인 등 농수산업 관련 법인의 경우 설립 후 운영 실적이 1년 이하인 법인은 지원할 수 없음, 염전에서 전년도 및 당해연도에 농약사용이 적발되거나 잔류농약이 검출된 염전 및 염전생산자와 염전근로자의 자유의사에 어긋나는 근로강요행위가 적발된 염전 및 생산자는 지원대상에서 배제
* 「소금산업진흥법」에 따른 천일염 인증을 받은 업체의 경우 우선 지원할 수 있음",○ 지원자격 및 요건을 갖춘 자 중에서 시장ㆍ군수가 시ㆍ군 자체적으로 구성된 심의회를 거쳐 지원대상자로 선정한 자,,지자체 공고에 따름,"['천일염', '장기저장시설', '지원대상', '업체인증', '지원내용']"
어촌지도자교육지원,"○ 교육비 : 무상교육
○ 교육내용 : 어촌 및 수산업발전 자문, 어촌지역간의 갈등 해소, 수산시책 홍보 및 모니터링, 수산기술 보급 사업 평가 및 자문, 기타 지도자협의회장이 필요하다고 판단하여 부의하는 사항
○ 수당 : 회의 소집에 참석한 지도자에 한하여 소요경비(수당 등) 지급. 1회 소집시 지급 기준액은 18만원 이내
○ 교육제공방법 : 지자체 수산사무소장이 어촌계장, 어업계장, 어촌지도자에게 교육계획 통보 및 참석 요청",접수기관 별 상이,지자체 수산기술보급기관/044-200-5464,지자체 수산기술보급기관에서 계획 통보 및 집합 요청,지방자치단체별 수산기술 보급기관(수산사무소),기타(교육),○ 어촌계장 등 어촌지도자,○ 해당 광역 시도 수산사무소의 교육계획에 따름,,해당없음,"['어촌지도자', '무상교육', '수당지급', '수산업발전', '교육계획', '어촌계장', '어촌지역']"
천일염포장재지원,"○ 천일염포장재 지원(지원조건 : 국비 30%, 지방비 30%, 자담 40%)",지자체 사업 공고시,해당지역 시군구청/관할 지자체,해당 지자체에 우편 또는 방문 신청,시·군·구청,현금,"○ (지원대상)지방자치단체, 공기업, 천일염 영농(어)조합법인, 농(어)업회사법인, 농업협동조합, 수산업협동조합, 천일염관련 협동조합, 개인 및 법인(천일염 생산자)
○ (제외대상) 영농(어)조합법인과 농(어)업회사법인 등 농수산업 관련 법인의 경우 설립 후 운영 실적이 1년 이하인 법인은 지원할 수 없음, 염전에서 전년도 및 당해연도에 농약사용이 적발되거나 잔류농약이 검출된 염전 및 염전생산자와 염전근로자의 자유의사에 어긋나는 근로강요행위가 적발된 염전 및 생산자는 지원대상에서 배제
* 「소금산업진흥법」에 따른 천일염 인증을 받은 업체의 경우 우선 지원할 수 있음",○ 지원자격 및 요건을 갖춘 자 중에서 시장․군수가 시․군 자체적으로 구성된 심의회를 거쳐 지원대상자로 선정한 자,,지자체 공고에 따름,"['청년', '주거안정', '창업지원', '저소득층', '대출', '신혼부부', '장애인']"
염전 바닥재 개선 지원,"○ 염전바닥재 개선 지원(지원조건 : 국비 30%, 지벙바 30%, 자담 40%)",지자체 사업 공고시,해당지역 시군구청/관할지자체,해당 지자체에 우편 또는 방문 신청,시·군·구청,현금,"○ (지원대상)지방자치단체, 공기업, 천일염 영농(어)조합법인, 농(어)업회사법인, 농업협동조합, 수산업협동조합, 천일염관련 협동조합, 개인 및 법인(천일염 생산자)
○ (제외대상)영농(어)조합법인과 농(어)업회사법인 등 농수산업 관련 법인의 경우 설립 후 운영 실적이 1년 이하인 법인은 지원할 수 없음, 염전에서 전년도 및 당해연도에 농약사용이 적발되거나 잔류농약이 검출된 염전 및 염전생산자와 염전근로자의 자유의사에 어긋나는 근로강요행위가 적발된 염전 및 생산자는 지원대상에서 배제
* 「소금산업진흥법」에 따른 천일염 인증을 받은 업체의 경우 우선 지원할 수 있음",○ 지원자격 및 요건을 갖춘 자 중에서 시장․군수가 시․군 자체적으로 구성된 심의회를 거쳐 지원대상자로 선정한 자,,지자체 공고에 따름,"['염전 바닥재 개선', '농업협동조합', '천일염', '지원조건', '자담', '지역자치단체']"
수산물 물류환경 개선,"○ 지게차, 파렛트, 어상자 임차비 50% 지원",공고일로부터 2주,수협중앙회/02-2240-2449,"우편 또는 방문신청(수협중앙회, 서울시 송파구 오금로 62 수협중앙회 경제기획부)",수협중앙회,현금,"○ 어업인, 생산자단체 등","○ 단위수협, 도매시장 등을 대상으로 사업공모 후 수협중앙회의 선정위원회를 통해 사업자 선정",,"신청서, 사업자등록증 등","['어업인', '물류환경', '지게차', '파렛트', '어상자', '임차비', '지원']"
항로표지 전문교육 지원,"○ 항로표지 전문인력의 양성 및 교육ㆍ훈련에 관한 사항, 교육프로그램의 개발 및 보급",연중,해양수산부 항로표지과/044-200-5873,우편(세종특별자치시 다솜2로 94 해양수산부 항로표지과),해양수산부 항로표지과,현금,○ 한국항로표지기술원,○ 항로표지법 시행령 제19조,https://katon.or.kr,해당없음,"['교육', '항로표지', '전문인력', '교육프로그램', '지원대상']"
어선어업생산자 단체 자조금 지원,"○ 자조금 단체의 임의거출금과 1:1 매칭펀드(대응보조)로 지원함을 원칙이나, 사업실적을 평가하여 결과에 따라 예산 범위 내에서 차등지원 (국고보조 50%, 자부담(임의거출금) 50%)",연중,공주대학교 산학협력단/041-330-1148,"방문 또는 우편 접수(공주대학교 산학협력단, 충남 예산군 예산읍 대학로 54)",공주대학교 산학협력단,현물,○ ｢농수산자조금의 조성 및 운영에 관한 법률｣에 따라 수산자조금을 조성‧ 운영하는 단체(해수부 소관 비영리법인)로 ｢민법｣ 제32조에 의해 수산업자*의 전부 또는 일부를 회원으로 하여 해양수산부 장관의 허가를 받아 설립된 비영리법인 단체,○ 최근년도 기준으로 품목별 전국 생산량(또는 금액)대비 단체 구성원의 전체 생산량(또는 금액) 비율이 10% 이상인 단체,,해수부 소관 비영리법인,"['어선어업생산자', '자조금', '수산자조금', '비영리법인', '자부담', '국고보조', '해양수산부']"
인증부표 교체비용 지원,"ㅇ 국비35%, 지방비35%, 자부담 30%
ㅇ 지원방법: 기존 스티로폼 부표를 인증부표로 교체하려는 자",자세한 날짜는 시군구청에 따라 다를 수 있음,해당지역 시군구청/-,"시․군․구에 제출(단체일 경우 구성원 개별 구분 신청)하되,
사업을 신청하고자 하는 어업인이 직접, 또는 FAX를 통해 관할 시․군․구에 구비서류를 제출.",시·군·구청,현금,"ㅇ 양식어업, 어장시설 등에 사용되는 스티로폼 부표를 인증부표로 교체하려는 자
* 사업대상자: 수산업법 및 양식산업발전법에 따른 면허나 구획어업 및 수산종자산업육성법에 따른 수산종자생산업 허가를 받아 어업을 경영 중이거나 하려는 자","1. 김과 수하식 패류(굴, 홍합 등), 피낭류(멍게, 미더덕 등) 양식장에서 사용하는 스티로폼 부표를 대체하거나 신규로 양식장을 설치하고자 하는 자 또는 단체
2. 양식장 전체의 스티로폼 부표를 인증부표로 대체 또는 신규로 설치하는 양식장 전체를 인증부표로 설치하고자 하는 자 또는 단체
3. 교체하고자 하는 부표량 대비 스티로폼 부표 회수율을 높게 신청한 자
4. 어업경영체에 등록된 사업자
5. 양식보험에 가입한 자 또는 단체",,"사업대상자 선정신청서 1부, 해당 면허증 또는 허가증 사본 1부","['청년', '대출', '창업지원', '저소득층', '신혼부부']"
패각 친환경 처리지원,"○ 국비20%, 지방비60%, 자부담 20%
○ 지원방법: 폐패각을 친환경 처리하고자 하는 자에 대하여 운반비의 일부를 지원",자세한 날짜는 시군구청에 따라 다를 수 있음,해양수산부 양식산업과/044-200-5634,시군구청에 방문하거나 팩스로 신청,시·군·구청,현금,"○ 패류 양식과정 중 발생하는 패각을 대상으로 하며, 패각발생이 있는자",○ 양식 패류 박신 또는 가공하는 사업장을 운영하는자 또는 연안지역에서 방치되고 있는 패각을 자원화하기 위해 사업비 중 자담을 부담하여 처리하고자 하는 자,,"사업대상자 선정신청서 1부, 사업자등록증 1부","['청년', '주거안정', '창업지원', '대출', '환경보호', '지원금']"
수산동물질병 예방백신 공급 지원,"○ 수산생물의 질병 예방 및 면역력 증강을 위한 백신, 면역증강제 지원
- 백신 : 국립수산물품질관리원 등으로부터 국가검정을 필한 제품
- 면역증강제 : 국공립 교육, 연구기관 등에서 효과 및 효능이 검증된 제품
(품목허가를 받은 부표 상 약품 설명서에 면역증강의 효능이 기재된 제품)
- 수산동물예방 백신 사업비는 배정된 예산의 범위 내에서 1차~2차 백신 접종까지 우선 지원하되, 지자체 자율로 면역증강제를 지원할 수 있음
- 지원조건 : 국고 30%, 지방비 30%, 자부담 40%",사업자 모집 공고 참고,경상북도 해양수산과/054-880-7726||전라남도 친환경수산과/061-286-6994||경상남도 수산안전기술원/055-254-3592,"○ 사업을 희망하는 자는 사업계획을 수립하여 시․군․구 및 지자체 소속 방역 수행기관에 신청(매년 1월 20일까지)
○ 시․군․구 및 지자체 소속 방역 수행기관은 직접 사업을 하고자 하거나 사업을 희망하는 사업자가 있는 경우 사업계획을 수립(지방비․자부담 확보 등)하여 시․도에 제출
○ 시․도는 사업대상자 적격 여부, 지원내용․조건, 재원조달계획 등 사업의 타당성을 검토하고, 그 결과를 토대로 추천 우선순위를 정하여 시․도 단위 사업계획을 수립하여 해양수산부에 사업수요 제출(매년 3월 31일까지)
○ 신청방법
- 해당 시군에서 사업자 모집 공고를 하면, 양식어업인이 시군에 신청서 제출(공급받고자 하는 제품 및 수량 제시)
- 해당 시군이 사업대상자 선정 및 배정액 결정
- 양식어업인이 해당 시군에 보조금 신청(납품계약 체결내용 및 자부담 예치증명서 제출)
- 해당 시군이 양식어업인에 보조금 지급
- 어업인은 세금계산서, 공급 사실 증빙 서류 등 보조금 정산 서류를 해당 시군에 제출","전남도청(친환경수산과), 경북도청(해양수산과), 경남도청(수산안전기술원)",현물,"ㅇ「양식산업발전법」또는「수산종자산업육성법」에 따른 면허 및 허가를 취득한 양식장 또는 수산종자생산시설을 운영 중이며, 「수산생물질병 관리법」에 따른 방역에 관한 교육을 받은 양식업자, 수산종자생산업자, 생산자단체(영어조합법인, 어촌계, 수협 등) 등","ㅇ 「농어업재해보험」에 따른 양식보험가입어가 및 「농수산물품질관리법」에 따른 HACCP 등록 양식장에 대해 우선순위로 지원할 수 있음
ㅇ 수산동물예방백신 사업의 경우 「자연재난 구호 및 복구 비용 부담기준 등에 관한 규정」 제9조제4항에 따라 입식 신고를 하고, 최근 1년 이내(‘23.1.1.∼ 사업자 선정 전) 국립수산물품질관리원에서 실시하는 표적예찰에 참여한 실적이 있는 어가를 우선 지원할 수 있음
ㅇ 「수산생물질병 관리법」 제38조 및 같은 법 시행규칙 제38조에 따라 방역교육을 받지 않은 수산생물양식자 및 그 종사자(양식업자 및 그 종사자)에 대하여는 지원을 제한함
ㅇ 재원조달 계획이 명확하여 재원(자담)이 이미 확보된 사업자에 한 함
ㅇ 영어조합법인 등의 경우 (「농어업경영체 육성 및 지원에 관한 법률」제4조에 따라 경영정보를 등록하여야 함)
.
- 영어(농)조합법인 지원요건 및 사후관리기준에 적합한 사업자에 한 함",,사업자 모집 공고 참고,"['수산동물질병', '면역증강', '면역력', '백신', '지원대상', '지원내용', '지원조건']"
